entry_time,entry_price,direction,exit_time,exit_price,pnl,exit_reason,final_pnl,trade_date,day_pnl
2024-12-23 09:17:00+05:30,23758.95,short,2024-12-23 09:19:00+05:30,23769.55,-10.6,EMA exit,-10.6,2024-12-23,-10.6
2024-12-23 09:19:00+05:30,23769.55,long,2024-12-23 09:22:00+05:30,23800.55,31.0,Target,20.4,2024-12-23,20.4
2024-12-23 09:26:00+05:30,23752.95,short,2024-12-23 09:30:00+05:30,23781.25,-28.3,EMA exit,-7.900000000000002,2024-12-23,-7.900000000000002
2024-12-23 09:30:00+05:30,23781.25,long,2024-12-23 09:35:00+05:30,23758.75,-22.5,EMA exit,-30.400000000000002,2024-12-23,-30.400000000000002
2024-12-23 09:35:00+05:30,23758.75,short,2024-12-23 09:37:00+05:30,23717.05,41.7,Target,11.3,2024-12-23,11.3
2024-12-23 09:46:00+05:30,23756.15,long,2024-12-23 09:54:00+05:30,23751.95,-4.2,EMA exit,7.1000000000000005,2024-12-23,7.1000000000000005
2024-12-23 09:54:00+05:30,23751.95,short,2024-12-23 09:55:00+05:30,23717.75,34.2,Target,41.300000000000004,2024-12-23,41.300000000000004
2024-12-23 10:02:00+05:30,23752.15,long,2024-12-23 10:04:00+05:30,23782.5,30.35,Target,71.65,2024-12-23,71.65
2024-12-23 10:16:00+05:30,23755.5,short,2024-12-23 10:29:00+05:30,23763.0,-7.5,EMA exit,64.15,2024-12-23,64.15
2024-12-23 10:29:00+05:30,23763.0,long,2024-12-23 10:31:00+05:30,23755.75,-7.25,EMA exit,56.900000000000006,2024-12-23,56.900000000000006
2024-12-23 10:31:00+05:30,23755.75,short,2024-12-23 10:32:00+05:30,23757.4,-1.65,EMA exit,55.25000000000001,2024-12-23,55.25000000000001
2024-12-23 10:32:00+05:30,23757.4,long,2024-12-23 10:40:00+05:30,23788.85,31.45,Target,86.7,2024-12-23,86.7
2024-12-23 10:44:00+05:30,23762.2,short,2024-12-23 10:46:00+05:30,23765.3,-3.1,EMA exit,83.60000000000001,2024-12-23,83.60000000000001
2024-12-23 10:46:00+05:30,23765.3,long,2024-12-23 10:47:00+05:30,23764.35,-0.95,EMA exit,82.65,2024-12-23,82.65
2024-12-23 10:47:00+05:30,23764.35,short,2024-12-23 10:49:00+05:30,23777.0,-12.65,EMA exit,70.0,2024-12-23,70.0
2024-12-23 10:49:00+05:30,23777.0,long,2024-12-23 10:58:00+05:30,23816.95,39.95,Target,109.95,2024-12-23,109.95000000000002
2024-12-23 11:41:00+05:30,23837.7,short,2024-12-23 11:42:00+05:30,23848.2,-10.5,EMA exit,99.45,2024-12-23,99.45000000000002
2024-12-23 11:42:00+05:30,23848.2,long,2024-12-23 11:55:00+05:30,23827.6,-20.6,EMA exit,78.85,2024-12-23,78.85000000000001
2024-12-23 11:55:00+05:30,23827.6,short,2024-12-23 12:04:00+05:30,23779.35,48.25,Target,127.1,2024-12-23,127.10000000000001
2024-12-23 13:42:00+05:30,23687.9,long,2024-12-23 13:54:00+05:30,23686.1,-1.8,EMA exit,125.3,2024-12-23,125.30000000000001
2024-12-23 13:54:00+05:30,23686.1,short,2024-12-23 14:12:00+05:30,23683.5,2.6,EMA exit,127.89999999999999,2024-12-23,127.9
2024-12-23 14:12:00+05:30,23683.5,long,2024-12-23 14:18:00+05:30,23728.7,45.2,Target,173.1,2024-12-23,173.10000000000002
2024-12-23 15:01:00+05:30,23733.1,short,2024-12-23 15:04:00+05:30,23740.15,-7.05,EMA exit,166.04999999999998,2024-12-23,166.05
2024-12-23 15:04:00+05:30,23740.15,long,2024-12-23 15:29:00+05:30,23747.2,7.05,EMA exit,173.1,2024-12-23,173.10000000000002
2024-12-23 15:29:00+05:30,23747.2,short,2024-12-23 15:29:00+05:30,23747.2,0.0,End of Data,173.1,2024-12-23,173.10000000000002
